indicator,maturity,layer,split,n_pc,variable,model,value,std
PPI,,1,test,128,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,1,test,128,cor,y_probe,0.2927553304876909,0.0584933305098876
PPI,,1,test,128,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,1,test,128,mse,y_probe,0.0002696641733917032,6.7169732449508e-5
PPI,,1,test,128,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,1,test,128,rmse,y_probe,0.016318985819937133,0.002047826652940257
PPI,,1,test,,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,1,test,,cor,y_probe,0.29309118670080714,0.062305351172752946
PPI,,1,test,,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,1,test,,mse,y_probe,0.0002695301639940039,6.308338877429901e-5
PPI,,1,test,,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,1,test,,rmse,y_probe,0.016326371395303095,0.0019299485280159622
PPI,,1,train,128,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,1,train,128,cor,y_probe,0.3192283387795432,0.015748362584233417
PPI,,1,train,128,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,1,train,128,mse,y_probe,0.0001824666828575244,5.43310554102327e-6
PPI,,1,train,128,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,1,train,128,rmse,y_probe,0.01350683750648426,0.00020007320833408216
PPI,,1,train,,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,1,train,,cor,y_probe,0.5455671129735824,0.008170484253075826
PPI,,1,train,,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,1,train,,mse,y_probe,0.00017081257183035916,4.371158570358685e-6
PPI,,1,train,,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,1,train,,rmse,y_probe,0.013068679018495549,0.00016658534559402377
PPI,,2,test,128,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,2,test,128,cor,y_probe,0.2589325178670164,0.05178041304395197
PPI,,2,test,128,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,2,test,128,mse,y_probe,0.00027344542137212234,6.615842968849618e-5
PPI,,2,test,128,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,2,test,128,rmse,y_probe,0.016438364174590426,0.002007985506566331
PPI,,2,test,,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,2,test,,cor,y_probe,0.2688020031447163,0.053541949023291714
PPI,,2,test,,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,2,test,,mse,y_probe,0.00027179786295641786,6.319665501717438e-5
PPI,,2,test,,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,2,test,,rmse,y_probe,0.016395866360193204,0.0019278969290079868
PPI,,2,train,128,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,2,train,128,cor,y_probe,0.2989328701590167,0.023025270859138726
PPI,,2,train,128,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,2,train,128,mse,y_probe,0.00018197764272371024,5.366335543363274e-6
PPI,,2,train,128,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,2,train,128,rmse,y_probe,0.013488747326413428,0.00019792134765113866
PPI,,2,train,,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,2,train,,cor,y_probe,0.5447881273450262,0.009547076605896413
PPI,,2,train,,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,2,train,,mse,y_probe,0.00016876378606487015,4.130715999898618e-6
PPI,,2,train,,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,2,train,,rmse,y_probe,0.012990138638819199,0.0001584463991645181
PPI,,3,test,128,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,3,test,128,cor,y_probe,0.15397615650438196,0.0609956341316268
PPI,,3,test,128,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,3,test,128,mse,y_probe,0.000274086057500631,6.715189987401057e-5
PPI,,3,test,128,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,3,test,128,rmse,y_probe,0.01645539939849665,0.0020328207424005324
PPI,,3,test,,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,3,test,,cor,y_probe,0.2546699854293958,0.05451100886084086
PPI,,3,test,,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,3,test,,mse,y_probe,0.0002714374263841928,6.330074727850396e-5
PPI,,3,test,,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,3,test,,rmse,y_probe,0.016384494047656125,0.0019318971202271964
PPI,,3,train,128,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,3,train,128,cor,y_probe,0.26561631722933543,0.020217670727557514
PPI,,3,train,128,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,3,train,128,mse,y_probe,0.00018291982240996205,5.428692493432829e-6
PPI,,3,train,128,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,3,train,128,rmse,y_probe,0.01352360601065048,0.00019969626517618789
PPI,,3,train,,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,3,train,,cor,y_probe,0.5026914379719017,0.00999083164030973
PPI,,3,train,,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,3,train,,mse,y_probe,0.00017155155370691825,4.480995462099637e-6
PPI,,3,train,,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,3,train,,rmse,y_probe,0.013096882444320659,0.00017038172790676578
PPI,,4,test,128,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,4,test,128,cor,y_probe,0.18932607560591402,0.06022559756482022
PPI,,4,test,128,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,4,test,128,mse,y_probe,0.0002725376805066515,6.83040211202942e-5
PPI,,4,test,128,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,4,test,128,rmse,y_probe,0.016404456302428004,0.002071078803541048
PPI,,4,test,,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,4,test,,cor,y_probe,0.2302785582101256,0.04658026091434541
PPI,,4,test,,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,4,test,,mse,y_probe,0.0002717882304189911,6.411280524681485e-5
PPI,,4,test,,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,4,test,,rmse,y_probe,0.016393333585883296,0.0019515520621231825
PPI,,4,train,128,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,4,train,128,cor,y_probe,0.2368417470090111,0.020906791214824198
PPI,,4,train,128,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,4,train,128,mse,y_probe,0.00018355065268761594,5.564329811996421e-6
PPI,,4,train,128,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,4,train,128,rmse,y_probe,0.013546854806173625,0.0002042594797875688
PPI,,4,train,,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,4,train,,cor,y_probe,0.4654384206317295,0.01290344718229942
PPI,,4,train,,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,4,train,,mse,y_probe,0.00017298948948116696,4.629755676294982e-6
PPI,,4,train,,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,4,train,,rmse,y_probe,0.013151613103687287,0.0001752221878352224
PPI,,5,test,128,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,5,test,128,cor,y_probe,0.23578155021481004,0.06815192709690691
PPI,,5,test,128,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,5,test,128,mse,y_probe,0.0002721252784833227,6.760788199211758e-5
PPI,,5,test,128,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,5,test,128,rmse,y_probe,0.01639350925716827,0.002054912625411628
PPI,,5,test,,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,5,test,,cor,y_probe,0.28062959034981305,0.046654026227317645
PPI,,5,test,,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,5,test,,mse,y_probe,0.0002685662546580685,6.316182549975257e-5
PPI,,5,test,,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,5,test,,rmse,y_probe,0.016295986510465398,0.0019387748414908402
PPI,,5,train,128,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,5,train,128,cor,y_probe,0.25356827721846187,0.019002775012504535
PPI,,5,train,128,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,5,train,128,mse,y_probe,0.00018296847124982078,5.47908182030327e-6
PPI,,5,train,128,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,5,train,128,rmse,y_probe,0.013525382982946536,0.00020151431227423004
PPI,,5,train,,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,5,train,,cor,y_probe,0.5443363510570325,0.010946724025463395
PPI,,5,train,,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,5,train,,mse,y_probe,0.00016735727750226564,3.920141226956675e-6
PPI,,5,train,,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,5,train,,rmse,y_probe,0.01293595862398626,0.00015104627097825682
PPI,,6,test,128,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,6,test,128,cor,y_probe,0.20106865597091478,0.05146535054591675
PPI,,6,test,128,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,6,test,128,mse,y_probe,0.00027392844521468933,6.759298323348802e-5
PPI,,6,test,128,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,6,test,128,rmse,y_probe,0.016449232105569818,0.002046707218858015
PPI,,6,test,,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,6,test,,cor,y_probe,0.2841629786384937,0.04769021375440531
PPI,,6,test,,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,6,test,,mse,y_probe,0.00026988238898794243,6.31026166727494e-5
PPI,,6,test,,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,6,test,,rmse,y_probe,0.01633711441201108,0.0019303761540183828
PPI,,6,train,128,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,6,train,128,cor,y_probe,0.24518097274671571,0.018445636624339953
PPI,,6,train,128,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,6,train,128,mse,y_probe,0.00018284965973934742,5.488894745827821e-6
PPI,,6,train,128,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,6,train,128,rmse,y_probe,0.013520985049048962,0.00020193762261477654
PPI,,6,train,,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,6,train,,cor,y_probe,0.5512155676186452,0.010902298755565242
PPI,,6,train,,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,6,train,,mse,y_probe,0.0001668001379391648,3.767645320055118e-6
PPI,,6,train,,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,6,train,,rmse,y_probe,0.012914457733956433,0.00014542771837615514
PPI,,7,test,128,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,7,test,128,cor,y_probe,0.19629693729523773,0.035387857335752795
PPI,,7,test,128,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,7,test,128,mse,y_probe,0.00027394272980295006,6.671309151363198e-5
PPI,,7,test,128,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,7,test,128,rmse,y_probe,0.01645216812408854,0.00202141467160843
PPI,,7,test,,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,7,test,,cor,y_probe,0.22495256992015653,0.05263874999037682
PPI,,7,test,,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,7,test,,mse,y_probe,0.00027146524297657097,6.358348380174653e-5
PPI,,7,test,,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,7,test,,rmse,y_probe,0.0163846599525857,0.0019391239048553827
PPI,,7,train,128,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,7,train,128,cor,y_probe,0.26210601503719094,0.012020739992949106
PPI,,7,train,128,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,7,train,128,mse,y_probe,0.00018216890940973238,5.339622565966269e-6
PPI,,7,train,128,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,7,train,128,rmse,y_probe,0.013495847575325353,0.0001968744311648009
PPI,,7,train,,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,7,train,,cor,y_probe,0.5582872443775977,0.010159244946976485
PPI,,7,train,,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,7,train,,mse,y_probe,0.00016596506729169204,3.628013128403339e-6
PPI,,7,train,,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,7,train,,rmse,y_probe,0.012882130469728113,0.00014045396307432652
PPI,,8,test,128,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,8,test,128,cor,y_probe,0.15686442840477882,0.06887213199556037
PPI,,8,test,128,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,8,test,128,mse,y_probe,0.00027441967215567013,6.753340480349604e-5
PPI,,8,test,128,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,8,test,128,rmse,y_probe,0.016464391972673218,0.0020443425366862725
PPI,,8,test,,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,8,test,,cor,y_probe,0.20262318849829875,0.05665231512376785
PPI,,8,test,,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,8,test,,mse,y_probe,0.00027156087108695865,6.437948531065775e-5
PPI,,8,test,,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,8,test,,rmse,y_probe,0.016385162297162408,0.001964474351641602
PPI,,8,train,128,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,8,train,128,cor,y_probe,0.22950301284962454,0.015411242667209366
PPI,,8,train,128,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,8,train,128,mse,y_probe,0.00018298272885689058,5.593384181980695e-6
PPI,,8,train,128,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,8,train,128,rmse,y_probe,0.013525860219770999,0.00020565192713351888
PPI,,8,train,,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,8,train,,cor,y_probe,0.5697697544993613,0.008920368559229053
PPI,,8,train,,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,8,train,,mse,y_probe,0.00016518397768201727,3.7093792389607372e-6
PPI,,8,train,,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,8,train,,rmse,y_probe,0.01285174730317537,0.00014391376472507045
PPI,,9,test,128,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,9,test,128,cor,y_probe,0.12395632220437107,0.05775991483094722
PPI,,9,test,128,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,9,test,128,mse,y_probe,0.00027608313746678014,6.717088234678645e-5
PPI,,9,test,128,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,9,test,128,rmse,y_probe,0.01651634721260765,0.002028981339049095
PPI,,9,test,,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,9,test,,cor,y_probe,0.19931693154302255,0.06701861400623484
PPI,,9,test,,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,9,test,,mse,y_probe,0.0002721628757246334,6.404983811195772e-5
PPI,,9,test,,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,9,test,,rmse,y_probe,0.01640477926636407,0.0019513114008612574
PPI,,9,train,128,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,9,train,128,cor,y_probe,0.2300273001049847,0.017809931062870956
PPI,,9,train,128,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,9,train,128,mse,y_probe,0.0001828557936331717,5.519207804713311e-6
PPI,,9,train,128,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,9,train,128,rmse,y_probe,0.013521199164759131,0.0002029987071656117
PPI,,9,train,,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,9,train,,cor,y_probe,0.5704304317943246,0.009497031139955252
PPI,,9,train,,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,9,train,,mse,y_probe,0.00016516169507497228,3.698489909362651e-6
PPI,,9,train,,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,9,train,,rmse,y_probe,0.012850883852987266,0.00014352383078869077
PPI,,10,test,128,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,10,test,128,cor,y_probe,0.16380415437192453,0.07660566831715503
PPI,,10,test,128,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,10,test,128,mse,y_probe,0.00027475876225236507,6.74946052506493e-5
PPI,,10,test,128,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,10,test,128,rmse,y_probe,0.016474940167742667,0.002041784979394333
PPI,,10,test,,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,10,test,,cor,y_probe,0.20202498327481253,0.08604270008486603
PPI,,10,test,,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,10,test,,mse,y_probe,0.00027069869430823194,6.468329162997794e-5
PPI,,10,test,,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,10,test,,rmse,y_probe,0.016357883359829264,0.001974318329972674
PPI,,10,train,128,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,10,train,128,cor,y_probe,0.2536591777927349,0.019314994341418694
PPI,,10,train,128,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,10,train,128,mse,y_probe,0.000181955387876822,5.465778403765952e-6
PPI,,10,train,128,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,10,train,128,rmse,y_probe,0.013487879560057916,0.00020153427188020223
PPI,,10,train,,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,10,train,,cor,y_probe,0.5641947586835963,0.009056157982689071
PPI,,10,train,,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,10,train,,mse,y_probe,0.00016546401400565394,3.859350645760442e-6
PPI,,10,train,,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,10,train,,rmse,y_probe,0.012862586251722073,0.0001495364615415541
PPI,,11,test,128,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,11,test,128,cor,y_probe,0.14787131924056324,0.07048295999331403
PPI,,11,test,128,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,11,test,128,mse,y_probe,0.00027515802700509804,6.733948924173661e-5
PPI,,11,test,128,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,11,test,128,rmse,y_probe,0.016487697630864218,0.0020352683601593266
PPI,,11,test,,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,11,test,,cor,y_probe,0.20268736089828723,0.10563911077177993
PPI,,11,test,,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,11,test,,mse,y_probe,0.00027000535209657306,6.626039638309404e-5
PPI,,11,test,,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,11,test,,rmse,y_probe,0.01633173418870232,0.0020247871758979825
PPI,,11,train,128,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,11,train,128,cor,y_probe,0.24220043323783483,0.018732871410928366
PPI,,11,train,128,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,11,train,128,mse,y_probe,0.00018227785462639553,5.49805192452943e-6
PPI,,11,train,128,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,11,train,128,rmse,y_probe,0.013499816043790308,0.0002025506424864786
PPI,,11,train,,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,11,train,,cor,y_probe,0.5777363098306179,0.006710614217481698
PPI,,11,train,,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,11,train,,mse,y_probe,0.00016465987971436933,3.890827744261367e-6
PPI,,11,train,,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,11,train,,rmse,y_probe,0.012831274753202967,0.00015111221900240653
PPI,,12,test,128,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,12,test,128,cor,y_probe,0.1499434419045997,0.0758690090245943
PPI,,12,test,128,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,12,test,128,mse,y_probe,0.0002759583165301132,6.74494924055692e-5
PPI,,12,test,128,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,12,test,128,rmse,y_probe,0.016511614537543195,0.002038658227151286
PPI,,12,test,,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,12,test,,cor,y_probe,0.22035439479714175,0.08464118989872593
PPI,,12,test,,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,12,test,,mse,y_probe,0.00027041090431731906,6.494953590966031e-5
PPI,,12,test,,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,12,test,,rmse,y_probe,0.016347856790333036,0.0019869834800776143
PPI,,12,train,128,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,12,train,128,cor,y_probe,0.24739086382580106,0.018672325901734284
PPI,,12,train,128,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,12,train,128,mse,y_probe,0.00018208126860797203,5.520685652023943e-6
PPI,,12,train,128,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,12,train,128,rmse,y_probe,0.01349252164719814,0.00020349511008142105
PPI,,12,train,,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,12,train,,cor,y_probe,0.5777301433630612,0.005412402554746752
PPI,,12,train,,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,12,train,,mse,y_probe,0.00016486274650887633,3.981858225730018e-6
PPI,,12,train,,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,12,train,,rmse,y_probe,0.012839145143985167,0.00015450922528452006
