ym,y,p,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,10,meeting minutes,,UST,19,106,1 Mo,y_bl,-0.0057523533079462475
"(1996, 1)",0.0,10,meeting minutes,,UST,19,106,1 Mo,y_probe,0.002403891412767084
"(1996, 3)",0.07738666361542093,10,meeting minutes,,UST,19,77,1 Mo,y_bl,-0.0057523533079462475
"(1996, 3)",0.07738666361542093,10,meeting minutes,,UST,19,77,1 Mo,y_probe,0.02701766910426568
"(1996, 5)",0.035824726518145805,10,meeting minutes,,UST,19,88,1 Mo,y_bl,-0.015055506877691716
"(1996, 5)",0.035824726518145805,10,meeting minutes,,UST,19,88,1 Mo,y_probe,0.027861533570004125
"(1996, 7)",0.013110165924207662,10,meeting minutes,,UST,19,124,1 Mo,y_bl,-0.011913417460334383
"(1996, 7)",0.013110165924207662,10,meeting minutes,,UST,19,124,1 Mo,y_probe,0.02800481525730405
"(1996, 8)",-0.016047025597516695,10,meeting minutes,,UST,19,75,1 Mo,y_bl,-0.00020192582557820442
"(1996, 8)",-0.016047025597516695,10,meeting minutes,,UST,19,75,1 Mo,y_probe,0.020973105018030094
"(1996, 9)",0.03184060585565751,10,meeting minutes,,UST,19,91,1 Mo,y_bl,-0.0061383372412705285
"(1996, 9)",0.03184060585565751,10,meeting minutes,,UST,19,91,1 Mo,y_probe,0.01668113915196636
"(1996, 10)",-0.024514565763584573,10,speech,Chairman Alan Greenspan,UST,19,20,1 Mo,y_bl,0.14605318147907356
"(1996, 10)",-0.024514565763584573,10,speech,Chairman Alan Greenspan,UST,19,20,1 Mo,y_probe,-0.053411452616515975
"(1996, 11)",-0.06172011215787131,10,meeting minutes,,UST,19,82,1 Mo,y_bl,-0.0070140801012760915
"(1996, 11)",-0.06172011215787131,10,meeting minutes,,UST,19,82,1 Mo,y_probe,0.008368213126739644
"(1996, 12)",0.029076264081508763,10,meeting minutes,,UST,19,67,1 Mo,y_bl,0.009893431793614113
"(1996, 12)",0.029076264081508763,10,meeting minutes,,UST,19,67,1 Mo,y_probe,0.023724913707683218
"(1997, 1)",0.02384613737283403,10,speech,Governor Laurence H. Meyer,UST,19,11,1 Mo,y_bl,0.16802875727837815
"(1997, 1)",0.02384613737283403,10,speech,Governor Laurence H. Meyer,UST,19,11,1 Mo,y_probe,-0.006359715501870838
"(1997, 2)",-0.0073910166463893034,10,meeting minutes,,UST,19,82,1 Mo,y_bl,0.0030366934314220604
"(1997, 2)",-0.0073910166463893034,10,meeting minutes,,UST,19,82,1 Mo,y_probe,0.016996537140707674
"(1997, 3)",0.029241849594496383,10,meeting minutes,,UST,19,77,1 Mo,y_bl,-0.0037219927172518572
"(1997, 3)",0.029241849594496383,10,meeting minutes,,UST,19,77,1 Mo,y_probe,0.021942421212201434
"(1997, 4)",0.021383566025322764,10,speech,Governor Laurence H. Meyer,UST,19,168,1 Mo,y_bl,0.27700893238101554
"(1997, 4)",0.021383566025322764,10,speech,Governor Laurence H. Meyer,UST,19,168,1 Mo,y_probe,0.038714275739359115
"(1997, 5)",-0.02186144771088394,10,meeting minutes,,UST,19,85,1 Mo,y_bl,-0.0029759501206374035
"(1997, 5)",-0.02186144771088394,10,speech,Chairman Alan Greenspan,UST,19,61,1 Mo,y_bl,-0.0029759501206374035
"(1997, 5)",-0.02186144771088394,10,meeting minutes,,UST,19,85,1 Mo,y_probe,0.0007926082042919356
"(1997, 5)",-0.02186144771088394,10,speech,Chairman Alan Greenspan,UST,19,61,1 Mo,y_probe,0.014994765582652156
"(1997, 7)",-0.01990532224880992,10,meeting minutes,,UST,19,116,1 Mo,y_bl,-0.017261095462849943
"(1997, 7)",-0.01990532224880992,10,meeting minutes,,UST,19,116,1 Mo,y_probe,0.0066400509369255855
"(1997, 8)",-0.040515668893719894,10,meeting minutes,,UST,19,74,1 Mo,y_bl,-0.013241718413827026
"(1997, 8)",-0.040515668893719894,10,meeting minutes,,UST,19,74,1 Mo,y_probe,0.041952769968790264
"(1997, 9)",-0.005798144987579482,10,meeting minutes,,UST,19,72,1 Mo,y_bl,0.0006897036781851077
"(1997, 9)",-0.005798144987579482,10,speech,Chairman Alan Greenspan,UST,19,83,1 Mo,y_bl,0.0006897036781851077
"(1997, 9)",-0.005798144987579482,10,speech,Governor Laurence H. Meyer,UST,19,127,1 Mo,y_bl,0.0006897036781851077
"(1997, 9)",-0.005798144987579482,10,meeting minutes,,UST,19,72,1 Mo,y_probe,0.0113030762624387
"(1997, 9)",-0.005798144987579482,10,speech,Chairman Alan Greenspan,UST,19,83,1 Mo,y_probe,-0.005562475932355207
"(1997, 9)",-0.005798144987579482,10,speech,Governor Laurence H. Meyer,UST,19,127,1 Mo,y_probe,0.03163232897085341
"(1997, 10)",-0.008236547093297242,10,speech,Governor Laurence H. Meyer,UST,19,135,1 Mo,y_bl,0.3744468089319008
"(1997, 10)",-0.008236547093297242,10,speech,Governor Laurence H. Meyer,UST,19,135,1 Mo,y_probe,0.000725551758173517
"(1997, 11)",-0.04607645829783902,10,meeting minutes,,UST,19,76,1 Mo,y_bl,-0.010862604583164919
"(1997, 11)",-0.04607645829783902,10,speech,Chairman Alan Greenspan,UST,19,83,1 Mo,y_bl,-0.010862604583164919
"(1997, 11)",-0.04607645829783902,10,meeting minutes,,UST,19,76,1 Mo,y_probe,0.016126589890553787
"(1997, 11)",-0.04607645829783902,10,speech,Chairman Alan Greenspan,UST,19,83,1 Mo,y_probe,0.006799743162350078
"(1997, 12)",-0.025645991046535716,10,meeting minutes,,UST,19,73,1 Mo,y_bl,0.002983698068586963
"(1997, 12)",-0.025645991046535716,10,speech,Chairman Alan Greenspan,UST,19,39,1 Mo,y_bl,0.002983698068586963
"(1997, 12)",-0.025645991046535716,10,meeting minutes,,UST,19,73,1 Mo,y_probe,-0.01378200738397718
"(1997, 12)",-0.025645991046535716,10,speech,Chairman Alan Greenspan,UST,19,39,1 Mo,y_probe,0.014933385851161404
"(1998, 1)",-0.033940671686584045,10,speech,Chairman Alan Greenspan,UST,19,14,1 Mo,y_bl,0.004803697052177455
"(1998, 1)",-0.033940671686584045,10,speech,Governor Laurence H. Meyer,UST,19,135,1 Mo,y_bl,0.004803697052177455
