ym,y,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,meeting minutes,,CPI,6,106,,y_bl,0.0018095848637232383
"(1996, 1)",0.0,meeting minutes,,CPI,6,106,,y_probe,0.0023890987964921436
"(1996, 3)",0.00515797404026852,meeting minutes,,CPI,6,77,,y_bl,0.0018095848637232383
"(1996, 3)",0.00515797404026852,meeting minutes,,CPI,6,77,,y_probe,0.0024176930083950002
"(1996, 5)",0.005771096491922201,meeting minutes,,CPI,6,88,,y_bl,0.003695093339150359
"(1996, 5)",0.005771096491922201,meeting minutes,,CPI,6,88,,y_probe,0.0025916410146539994
"(1996, 7)",0.0038289772370969644,meeting minutes,,CPI,6,124,,y_bl,0.0033191314348228846
"(1996, 7)",0.0038289772370969644,meeting minutes,,CPI,6,124,,y_probe,0.002414212517633623
"(1996, 8)",0.0012730746467983778,meeting minutes,,CPI,6,75,,y_bl,0.0030804152791075448
"(1996, 8)",0.0012730746467983778,meeting minutes,,CPI,6,75,,y_probe,0.0024020908219188207
"(1996, 9)",0.0031756139738865485,meeting minutes,,CPI,6,91,,y_bl,0.0012950325397918091
"(1996, 9)",0.0031756139738865485,speech,Governor Laurence H. Meyer,CPI,6,76,,y_bl,0.0012950325397918091
"(1996, 9)",0.0031756139738865485,meeting minutes,,CPI,6,91,,y_probe,0.0024875638034124676
"(1996, 9)",0.0031756139738865485,speech,Governor Laurence H. Meyer,CPI,6,76,,y_probe,0.0029489079463858826
"(1996, 10)",0.0031655613645611425,speech,Chairman Alan Greenspan,CPI,6,20,,y_bl,0.0027281272980020596
"(1996, 10)",0.0031655613645611425,speech,Chairman Alan Greenspan,CPI,6,20,,y_probe,0.0027330926227356073
"(1996, 11)",0.0031555721988096863,meeting minutes,,CPI,6,82,,y_bl,0.0027568106177745895
"(1996, 11)",0.0031555721988096863,meeting minutes,,CPI,6,82,,y_probe,0.0024663705252619315
"(1996, 12)",0.0025173078113773784,meeting minutes,,CPI,6,67,,y_bl,0.0032263205066742455
"(1996, 12)",0.0025173078113773784,meeting minutes,,CPI,6,67,,y_probe,0.0023534831500959647
"(1997, 1)",0.0018838310123738822,speech,Governor Laurence H. Meyer,CPI,6,11,,y_bl,0.00218542849390107
"(1997, 1)",0.0018838310123738822,speech,Governor Laurence H. Meyer,CPI,6,11,,y_probe,0.0026467345259658906
"(1997, 2)",0.00188028886485192,meeting minutes,,CPI,6,82,,y_bl,0.002317084537420963
"(1997, 2)",0.00188028886485192,meeting minutes,,CPI,6,82,,y_probe,0.00228451552110094
"(1997, 3)",0.0006259781112074592,meeting minutes,,CPI,6,77,,y_bl,0.0023230415115267303
"(1997, 3)",0.0006259781112074592,meeting minutes,,CPI,6,77,,y_probe,0.002315880588592997
"(1997, 4)",0.0006255865077342548,speech,Governor Laurence H. Meyer,CPI,6,168,,y_bl,0.001938046129848481
"(1997, 4)",0.0006255865077342548,speech,Governor Laurence H. Meyer,CPI,6,168,,y_probe,0.002736242094688409
"(1997, 5)",0.0,meeting minutes,,CPI,6,85,,y_bl,0.0021271052992756115
"(1997, 5)",0.0,speech,Chairman Alan Greenspan,CPI,6,61,,y_bl,0.0021271052992756115
"(1997, 5)",0.0,meeting minutes,,CPI,6,85,,y_probe,0.0023540182556737923
"(1997, 5)",0.0,speech,Chairman Alan Greenspan,CPI,6,61,,y_probe,0.0029176735922917456
"(1997, 7)",0.0031220755925058796,meeting minutes,,CPI,6,116,,y_bl,0.0016714857708306624
"(1997, 7)",0.0031220755925058796,meeting minutes,,CPI,6,116,,y_probe,0.002452296754407363
"(1997, 8)",0.002490661312451792,meeting minutes,,CPI,6,74,,y_bl,0.00316256382283932
"(1997, 8)",0.002490661312451792,meeting minutes,,CPI,6,74,,y_probe,0.002371879208579123
"(1997, 9)",0.0024844733276614406,meeting minutes,,CPI,6,72,,y_bl,0.002313064309960862
"(1997, 9)",0.0024844733276614406,speech,Chairman Alan Greenspan,CPI,6,83,,y_bl,0.002313064309960862
"(1997, 9)",0.0024844733276614406,speech,Governor Laurence H. Meyer,CPI,6,127,,y_bl,0.002313064309960862
"(1997, 9)",0.0024844733276614406,meeting minutes,,CPI,6,72,,y_probe,0.002534141838193003
"(1997, 9)",0.0024844733276614406,speech,Chairman Alan Greenspan,CPI,6,83,,y_probe,0.0025512123245575455
"(1997, 9)",0.0024844733276614406,speech,Governor Laurence H. Meyer,CPI,6,127,,y_probe,0.002882738879650683
"(1997, 10)",0.0018593125901835705,speech,Governor Laurence H. Meyer,CPI,6,135,,y_bl,0.002851059491853378
"(1997, 10)",0.0018593125901835705,speech,Governor Laurence H. Meyer,CPI,6,135,,y_probe,0.0024722878290204687
"(1997, 11)",0.0012376239203497619,meeting minutes,,CPI,6,76,,y_bl,0.0017712548788217485
"(1997, 11)",0.0012376239203497619,speech,Chairman Alan Greenspan,CPI,6,83,,y_bl,0.0017712548788217485
"(1997, 11)",0.0012376239203497619,meeting minutes,,CPI,6,76,,y_probe,0.0021830870015375104
"(1997, 11)",0.0012376239203497619,speech,Chairman Alan Greenspan,CPI,6,83,,y_probe,0.0022982072755312892
"(1997, 12)",0.0006182380413308763,meeting minutes,,CPI,6,73,,y_bl,0.0022280860756107453
"(1997, 12)",0.0006182380413308763,speech,Chairman Alan Greenspan,CPI,6,39,,y_bl,0.0022280860756107453
"(1997, 12)",0.0006182380413308763,meeting minutes,,CPI,6,73,,y_probe,0.0021335497757979174
"(1997, 12)",0.0006182380413308763,speech,Chairman Alan Greenspan,CPI,6,39,,y_probe,0.002187312163576274
"(1998, 1)",0.001235330607991969,speech,Chairman Alan Greenspan,CPI,6,94,,y_bl,0.0019140934338350857
