ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,train,10,1,meeting minutes,,UST,5,106,1 Yr,y_bl,-0.0027761937187946208
"(1996, 1)",0.0,train,10,1,meeting minutes,,UST,5,106,1 Yr,y_probe,0.0017675795594295752
"(1996, 3)",0.07725848313712999,train,10,1,meeting minutes,,UST,5,77,1 Yr,y_bl,-0.0027761937187946208
"(1996, 3)",0.07725848313712999,train,10,1,meeting minutes,,UST,5,77,1 Yr,y_probe,-0.004387718078596968
"(1996, 5)",0.03470667976550024,train,10,1,meeting minutes,,UST,5,88,1 Yr,y_bl,-0.012769637574383593
"(1996, 5)",0.03470667976550024,train,10,1,meeting minutes,,UST,5,88,1 Yr,y_probe,-0.002477593042661059
"(1996, 7)",0.04046286361318216,train,10,1,meeting minutes,,UST,5,124,1 Yr,y_bl,-0.0006076492035807542
"(1996, 7)",0.04046286361318216,train,10,1,meeting minutes,,UST,5,124,1 Yr,y_probe,0.003830754603209264
"(1996, 8)",-0.031526253646772605,train,10,1,meeting minutes,,UST,5,75,1 Yr,y_bl,0.0017201854011910144
"(1996, 8)",-0.031526253646772605,train,10,1,meeting minutes,,UST,5,75,1 Yr,y_probe,-0.011808226980334954
"(1996, 9)",0.0193838668210482,train,10,1,meeting minutes,,UST,5,91,1 Yr,y_bl,-0.0034729455634614345
"(1996, 9)",0.0193838668210482,train,10,1,meeting minutes,,UST,5,91,1 Yr,y_probe,-0.004885446946779069
"(1996, 10)",-0.02652675433342977,train,10,1,speech,Chairman Alan Greenspan,UST,5,20,1 Yr,y_bl,-0.01050722168306808
"(1996, 10)",-0.02652675433342977,train,10,1,speech,Chairman Alan Greenspan,UST,5,20,1 Yr,y_probe,0.02533141968418941
"(1996, 11)",-0.029092960941664543,train,10,1,meeting minutes,,UST,5,82,1 Yr,y_bl,0.01952302631271628
"(1996, 11)",-0.029092960941664543,train,10,1,meeting minutes,,UST,5,82,1 Yr,y_probe,-0.013757565966401358
"(1996, 12)",0.01646880771326753,train,10,1,meeting minutes,,UST,5,67,1 Yr,y_bl,0.019955720050410557
"(1996, 12)",0.01646880771326753,train,10,1,meeting minutes,,UST,5,67,1 Yr,y_probe,-0.0002565896521810279
"(1997, 1)",0.017986096369782656,train,10,1,speech,Governor Laurence H. Meyer,UST,5,11,1 Yr,y_bl,0.018552380196997245
"(1997, 1)",0.017986096369782656,train,10,1,speech,Governor Laurence H. Meyer,UST,5,11,1 Yr,y_probe,-0.006270535594202167
"(1997, 2)",-0.012556218775412686,train,10,1,meeting minutes,,UST,5,82,1 Yr,y_bl,-0.009227357120394606
"(1997, 2)",-0.012556218775412686,train,10,1,meeting minutes,,UST,5,82,1 Yr,y_probe,0.003805671508402942
"(1997, 3)",0.0646513306588133,train,10,1,meeting minutes,,UST,5,77,1 Yr,y_bl,0.028102488848263222
"(1997, 3)",0.0646513306588133,train,10,1,meeting minutes,,UST,5,77,1 Yr,y_probe,0.0007899720921148217
"(1997, 4)",0.02341244062474157,train,10,1,speech,Governor Laurence H. Meyer,UST,5,168,1 Yr,y_bl,-0.024720410941722882
"(1997, 4)",0.02341244062474157,train,10,1,speech,Governor Laurence H. Meyer,UST,5,168,1 Yr,y_probe,0.017140262950470084
"(1997, 5)",-0.029935518451022627,train,10,1,meeting minutes,,UST,5,85,1 Yr,y_bl,-0.003969627345652492
"(1997, 5)",-0.029935518451022627,train,10,1,speech,Chairman Alan Greenspan,UST,5,61,1 Yr,y_bl,-0.003969627345652492
"(1997, 5)",-0.029935518451022627,train,10,1,meeting minutes,,UST,5,85,1 Yr,y_probe,-0.0006777179723114692
"(1997, 5)",-0.029935518451022627,train,10,1,speech,Chairman Alan Greenspan,UST,5,61,1 Yr,y_probe,0.020460918818399735
"(1997, 7)",-0.04027389913794277,train,10,1,meeting minutes,,UST,5,116,1 Yr,y_bl,0.0038036540682278674
"(1997, 7)",-0.04027389913794277,train,10,1,meeting minutes,,UST,5,116,1 Yr,y_probe,-0.008368782316430469
