ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,4,1,meeting minutes,,CPI,14,106,,128,y_bl,0.0024560723092352413
"(1996, 1)",0.0,train,4,1,meeting minutes,,CPI,14,106,,128,y_probe,0.0021658480375604376
"(1996, 3)",0.005157974040266744,train,4,1,meeting minutes,,CPI,14,77,,128,y_bl,0.0024560723092352413
"(1996, 3)",0.005157974040266744,train,4,1,meeting minutes,,CPI,14,77,,128,y_probe,0.0022183607448817543
"(1996, 5)",0.005771096491922201,train,4,1,meeting minutes,,CPI,14,88,,128,y_bl,0.0037690434744508125
"(1996, 5)",0.005771096491922201,train,4,1,meeting minutes,,CPI,14,88,,128,y_probe,0.0023519584950278784
"(1996, 7)",0.0038289772370987407,train,4,1,meeting minutes,,CPI,14,124,,128,y_bl,0.0032827464939015547
"(1996, 7)",0.0038289772370987407,train,4,1,meeting minutes,,CPI,14,124,,128,y_probe,0.0022466386765828553
"(1996, 8)",0.0012730746467983778,train,4,1,meeting minutes,,CPI,14,75,,128,y_bl,0.0028039742349685653
"(1996, 8)",0.0012730746467983778,train,4,1,meeting minutes,,CPI,14,75,,128,y_probe,0.0022844522678957062
"(1996, 9)",0.0031756139738856604,train,4,1,meeting minutes,,CPI,14,91,,128,y_bl,0.0010810193760826764
"(1996, 9)",0.0031756139738856604,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,76,,128,y_bl,0.0010810193760826764
"(1996, 9)",0.0031756139738856604,train,4,1,meeting minutes,,CPI,14,91,,128,y_probe,0.002339416698560031
"(1996, 9)",0.0031756139738856604,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,76,,128,y_probe,0.002389338375056775
"(1996, 10)",0.003165561364558478,train,4,1,speech,Chairman Alan Greenspan,CPI,14,20,,128,y_bl,0.0016914811497996231
"(1996, 10)",0.003165561364558478,train,4,1,speech,Chairman Alan Greenspan,CPI,14,20,,128,y_probe,0.0024695142736769144
"(1996, 11)",0.0031555721988105745,train,4,1,meeting minutes,,CPI,14,82,,128,y_bl,0.0019053698311793784
"(1996, 11)",0.0031555721988105745,train,4,1,meeting minutes,,CPI,14,82,,128,y_probe,0.0021963009890712364
"(1996, 12)",0.00251730781137649,train,4,1,meeting minutes,,CPI,14,67,,128,y_bl,0.002594639077502453
"(1996, 12)",0.00251730781137649,train,4,1,meeting minutes,,CPI,14,67,,128,y_probe,0.0022263786845552673
"(1997, 1)",0.0018838310123721058,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,11,,128,y_bl,0.001944447418225399
"(1997, 1)",0.0018838310123721058,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,11,,128,y_probe,0.0022146148162295693
"(1997, 2)",0.00188028886485192,train,4,1,meeting minutes,,CPI,14,82,,128,y_bl,0.0018650880983529224
"(1997, 2)",0.00188028886485192,train,4,1,meeting minutes,,CPI,14,82,,128,y_probe,0.002245785667477536
"(1997, 3)",0.000625978111206571,train,4,1,meeting minutes,,CPI,14,77,,128,y_bl,0.0019342664469848214
"(1997, 3)",0.000625978111206571,train,4,1,meeting minutes,,CPI,14,77,,128,y_probe,0.0022968538626054087
"(1997, 4)",0.000625586507735143,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,168,,128,y_bl,0.0017681049300991034
"(1997, 4)",0.000625586507735143,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,168,,128,y_probe,0.0024810630840278645
"(1997, 5)",-2.6645352591003757e-15,train,4,1,meeting minutes,,CPI,14,85,,128,y_bl,0.00208690035768782
"(1997, 5)",-2.6645352591003757e-15,train,4,1,speech,Chairman Alan Greenspan,CPI,14,61,,128,y_bl,0.00208690035768782
"(1997, 5)",-2.6645352591003757e-15,train,4,1,meeting minutes,,CPI,14,85,,128,y_probe,0.0022525740875443934
"(1997, 5)",-2.6645352591003757e-15,train,4,1,speech,Chairman Alan Greenspan,CPI,14,61,,128,y_probe,0.0023209324114375454
"(1997, 7)",0.0031220755925041033,train,4,1,meeting minutes,,CPI,14,116,,128,y_bl,0.0019062534739715646
"(1997, 7)",0.0031220755925041033,train,4,1,meeting minutes,,CPI,14,116,,128,y_probe,0.002242383211782569
"(1997, 8)",0.002490661312451792,train,4,1,meeting minutes,,CPI,14,74,,128,y_bl,0.003101133539671327
"(1997, 8)",0.002490661312451792,train,4,1,meeting minutes,,CPI,14,74,,128,y_probe,0.0022118044428853442
"(1997, 9)",0.0024844733276623288,train,4,1,meeting minutes,,CPI,14,72,,128,y_bl,0.0025405339244907402
"(1997, 9)",0.0024844733276623288,train,4,1,speech,Chairman Alan Greenspan,CPI,14,83,,128,y_bl,0.0025405339244907402
"(1997, 9)",0.0024844733276623288,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,127,,128,y_bl,0.0025405339244907402
"(1997, 9)",0.0024844733276623288,train,4,1,meeting minutes,,CPI,14,72,,128,y_probe,0.0021957276292838574
"(1997, 9)",0.0024844733276623288,train,4,1,speech,Chairman Alan Greenspan,CPI,14,83,,128,y_probe,0.0024087892944994103
"(1997, 9)",0.0024844733276623288,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,127,,128,y_probe,0.0025208803192837905
"(1997, 10)",0.001859312590186235,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,135,,128,y_bl,0.0028339746933919562
"(1997, 10)",0.001859312590186235,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,135,,128,y_probe,0.0021860348564703945
"(1997, 11)",0.0012376239203497619,train,4,1,meeting minutes,,CPI,14,76,,128,y_bl,0.0018622542064231737
"(1997, 11)",0.0012376239203497619,train,4,1,speech,Chairman Alan Greenspan,CPI,14,83,,128,y_bl,0.0018622542064231737
"(1997, 11)",0.0012376239203497619,train,4,1,meeting minutes,,CPI,14,76,,128,y_probe,0.002237733269492523
"(1997, 11)",0.0012376239203497619,train,4,1,speech,Chairman Alan Greenspan,CPI,14,83,,128,y_probe,0.002365182920124708
"(1997, 12)",0.0006182380413273236,train,4,1,meeting minutes,,CPI,14,73,,128,y_bl,0.0019439666978312126
"(1997, 12)",0.0006182380413273236,train,4,1,speech,Chairman Alan Greenspan,CPI,14,39,,128,y_bl,0.0019439666978312126
"(1997, 12)",0.0006182380413273236,train,4,1,meeting minutes,,CPI,14,73,,128,y_probe,0.0021241232663687564
"(1997, 12)",0.0006182380413273236,train,4,1,speech,Chairman Alan Greenspan,CPI,14,39,,128,y_probe,0.002196229592895919
"(1998, 1)",0.0012353306079946336,train,4,1,speech,Chairman Alan Greenspan,CPI,14,94,,128,y_bl,0.0018541699243957883
"(1998, 1)",0.0012353306079946336,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,135,,128,y_bl,0.0018541699243957883
"(1998, 1)",0.0012353306079946336,train,4,1,speech,Chairman Alan Greenspan,CPI,14,94,,128,y_probe,0.0022936430478973455
"(1998, 1)",0.0012353306079946336,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,135,,128,y_probe,0.0025262811676182487
"(1998, 2)",0.0,train,4,1,meeting minutes,,CPI,14,85,,128,y_bl,0.0022379175070756548
"(1998, 2)",0.0,train,4,1,meeting minutes,,CPI,14,85,,128,y_probe,0.00222704655426348
"(1998, 3)",0.0,train,4,1,meeting minutes,,CPI,14,84,,128,y_bl,0.001995286970042721
"(1998, 3)",0.0,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,176,,128,y_bl,0.001995286970042721
"(1998, 3)",0.0,train,4,1,meeting minutes,,CPI,14,84,,128,y_probe,0.0021607339104451275
"(1998, 3)",0.0,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,176,,128,y_probe,0.0023010608313736437
"(1998, 4)",0.001233806448929009,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,67,,128,y_bl,0.0023192627154797717
"(1998, 4)",0.001233806448929009,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,67,,128,y_probe,0.002435882396925548
"(1998, 5)",0.002463055432397887,train,4,1,meeting minutes,,CPI,14,94,,128,y_bl,0.002452768604909577
"(1998, 5)",0.002463055432397887,train,4,1,meeting minutes,,CPI,14,94,,128,y_probe,0.002246429786160398
"(1998, 6)",0.001229256454728933,train,4,1,meeting minutes,,CPI,14,111,,128,y_bl,0.0029293904226184845
"(1998, 6)",0.001229256454728933,train,4,1,meeting minutes,,CPI,14,111,,128,y_probe,0.0022660850553019325
"(1998, 7)",0.002453988961568676,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",CPI,14,81,,128,y_bl,0.002484231474106653
"(1998, 7)",0.002453988961568676,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",CPI,14,81,,128,y_probe,0.002618911942556091
"(1998, 8)",0.0012247398958944444,train,4,1,meeting minutes,,CPI,14,81,,128,y_bl,0.0026545802674347117
"(1998, 8)",0.0012247398958944444,train,4,1,meeting minutes,,CPI,14,81,,128,y_probe,0.002213442580297296
"(1998, 9)",0.0006118079114072472,train,4,1,meeting minutes,,CPI,14,80,,128,y_bl,0.0018513412885245194
"(1998, 9)",0.0006118079114072472,train,4,1,meeting minutes,,CPI,14,80,,128,y_probe,0.0020191836711739427
"(1998, 10)",0.0024434954124759045,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,100,,128,y_bl,0.002187219712471025
"(1998, 10)",0.0024434954124759045,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,100,,128,y_probe,0.0023350546930828303
"(1998, 11)",0.001219512346263052,train,4,1,meeting minutes,,CPI,14,82,,128,y_bl,0.002393249547862381
"(1998, 11)",0.001219512346263052,train,4,1,meeting minutes,,CPI,14,82,,128,y_probe,0.0020702250156391664
"(1998, 12)",0.0018264845260338447,train,4,1,meeting minutes,,CPI,14,72,,128,y_bl,0.0021584478591747504
"(1998, 12)",0.0018264845260338447,train,4,1,meeting minutes,,CPI,14,72,,128,y_probe,0.0020582420004471606
"(1999, 1)",0.0018231545615163824,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",CPI,14,51,,128,y_bl,0.0026555116318627736
"(1999, 1)",0.0018231545615163824,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",CPI,14,51,,128,y_probe,0.0024027927388988214
"(1999, 2)",8.881784197001252e-16,train,4,1,meeting minutes,,CPI,14,89,,128,y_bl,0.002086668964446319
"(1999, 2)",8.881784197001252e-16,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,98,,128,y_bl,0.002086668964446319
"(1999, 2)",8.881784197001252e-16,train,4,1,meeting minutes,,CPI,14,89,,128,y_probe,0.002139207637178415
"(1999, 2)",8.881784197001252e-16,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,98,,128,y_probe,0.0024002356714114634
"(1999, 3)",0.0006069802917743061,train,4,1,meeting minutes,,CPI,14,80,,128,y_bl,0.0019482734380851974
"(1999, 3)",0.0006069802917743061,train,4,1,meeting minutes,,CPI,14,80,,128,y_probe,0.002217758046669262
"(1999, 4)",0.006652579721029284,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,99,,128,y_bl,0.002173837155647038
"(1999, 4)",0.006652579721029284,train,4,1,speech,Governor Laurence H. Meyer,CPI,14,99,,128,y_probe,0.002310522327898379
